ID,RANK,TITULO,TITULO COMPLETO,ANO DE LANÇAMENTO,DIRETOR,ELENCO,NOTA DO PUBLICO,NUMERO DE VOTOS,MEDIA DE VOTOS
4430212,241,Drishyam,Drishyam (2015),2015,Nishikant Kamat ," Ajay Devgn, Shriya Saran",8.0,67998,0.05080471734479685
4857264,242,The Invisible Guest,The Invisible Guest (2016),2016,Oriol Paulo ," Mario Casas, Ana Wagener",8.0,133162,0.09949201110426538
1454029,243,The Help,The Help (2011),2011,Tate Taylor ," Emma Stone, Viola Davis",8.0,423307,0.31627389754219126
93779,244,The Princess Bride,The Princess Bride (1987),1987,Rob Reiner ," Cary Elwes, Mandy Patinkin",8.0,389428,0.29096119689034305
18773,245,The Circus,The Circus (1928),1928,Charles Chaplin ," Charles Chaplin, Merna Kennedy",8.0,29115,0.021753277236003416
58946,246,The Battle of Algiers,The Battle of Algiers (1966),1966,Gillo Pontecorvo ," Brahim Hadjadj, Jean Martin",8.0,52069,0.03890336226692295
88247,247,The Terminator,The Terminator (1984),1984,James Cameron ," Arnold Schwarzenegger, Linda Hamilton",8.0,792386,0.5920313355977264
2991224,248,Tangerines,Tangerines (2013),2013,Zaza Urushadze ," Lembit Ulfsak, Elmo Nüganen",8.0,38730,0.028937126132591872
103639,249,Aladdin,Aladdin (1992),1992,Ron Clements ," Scott Weinger, Robin Williams",8.0,369787,0.2762864203767815
2758880,250,Winter Sleep,Winter Sleep (2014),2014,Nuri Bilge Ceylan ," Haluk Bilginer, Melisa Sözen",8.0,44849,0.03350893803048316
